,传染病和事件信息报告系统,全国动物疫情风险监测预警系统,农作物病虫疫情监测预警系统,海关卫生检疫系统,重大林草植物疫情及外来入侵物种监测预警系统,陆生野生动物疫源疫病监测预警系统,病原智能监测预警系统（知识）,病原智能监测预警系统（数据）,生物舆情监测平台
灵长目红细胞细小病毒1型,,,,,,,,yes,
塔宾曲霉,,,,,,,,yes,
伞枝横梗霉,,,,,,,,yes,
按蚊伊丽莎白金菌,,,,,,,,yes,
代尔夫特菌*,,,,,,,,yes,
藤仓镰刀菌复合群,,,,,,,,yes,
粘质沙雷氏菌,,,,,,,,yes,
变栖克雷伯菌,,,,,,,,yes,
液化沙雷氏菌,,,,,,,,yes,
吉拉尔迪贪铜菌,,,,,,,,yes,
细环病毒29型,,,,,,,,yes,
肝炎病毒C型,,,,,,,,yes,
细环病毒24型,,,,,,,,yes,
人类疱疹病毒2型(HSV2),,,,,,,,yes,
解脲支原体,,,,,,,,yes,
腿伤克斯特氏菌,,,,,,,,yes,
苯丙酮酸嗜冷杆菌,,,,,,,,yes,
细环病毒18型,,,,,,,,yes,
SEN病毒,,,,,,,,yes,
总状毛霉,,,,,,,,yes,
细环病毒22型,,,,,,,,yes,
食酸代尔夫特菌,,,,,,,,yes,
细环病毒13型,,,,,,,,yes,
茄病镰刀菌复合群,,,,,,,,yes,
诺沃克病毒,,,,,,,,yes,
博卡病毒1型,,,,,,,,yes,
土生拉乌尔菌,,,,,,,,yes,
巴黎军团菌,,,,,,,,yes,
少根根霉,,,,,,,,yes,
类肺炎克雷伯氏菌,,,,,,,,yes,
日勾维肠杆菌,,,,,,,,yes,
星状病毒VA3,,,,,,,,yes,
单不动杆菌,,,,,,,,yes,
人细小病毒B19,,,,,,,,yes,
茴香军团菌,,,,,,,,yes,
微孢根霉,,,,,,,,yes,
脓肿诺卡氏菌,,,,,,,,yes,
人类疱疹病毒4型,,,,,,,,yes,
人类疱疹病毒1型,,,,,,,,yes,
尖孢镰刀菌复合群,,,,,,,,yes,
银白色葡萄球菌,,,,,,,,yes,
人类疱疹病毒6B型(HHV-6B),,,,,,,,yes,
光滑奈卡菌,,,,,,,,yes,
鸟-胞内分支杆菌复合群,,,,,,,,yes,
解乳消化链球菌,,,,,,,,yes,
普氏厌氧球菌,,,,,,,,yes,
细环病毒19型,,,,,,,,yes,
细环病毒5型,,,,,,,,yes,
洛氏普雷沃氏菌,,,,,,,,yes,
多布沙假丝酵母,,,,,,,,yes,
普通变形杆菌,,,,,,,,yes,
乌尔辛不动杆菌,,,,,,,,yes,
潘氏变形杆菌,,,,,,,,yes,
Talaromyces piceae,,,,,,,,yes,
小细环病毒7型,,,,,,,,yes,
产黑色素普雷沃菌,,,,,,,,yes,
延长奈瑟菌,,,,,,,,yes,
革氏放线菌（格雷文尼放线菌）,,,,,,,,yes,
溶血孪生菌,,,,,,,,yes,
龈沟真杆菌,,,,,,,,yes,
山曲霉,,,,,,,,yes,
乌达加瓦曲霉,,,,,,,,yes,
人传染性软疣病毒,,,,,,,,yes,
细环病毒11型,,,,,,,,yes,
赛伯林黛拉·法比亚尼,,,,,,,,yes,
匍匐根霉,,,,,,,,yes,
细环病毒9型,,,,,,,,yes,
巴西诺卡菌,,,,,,,,yes,
肾脏钩端螺旋体,,,,,,,,yes,
黄褐二氧化碳嗜纤维菌,,,,,,,,yes,
中间普雷沃氏菌,,,,,,,,yes,
麻疹孪生菌,,,,,,,,yes,
美容品分枝杆菌,,,,,,,,yes,
